timestamp_us,motor[0],motor[1],motor[2],motor[3],motor[4],motor[5],motor[6],motor[7],motor[8],motor[9],motor[10],motor[11],servo[0],servo[1],servo[2],servo[3],servo[4],servo[5],servo[6],servo[7]
56000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0010,0.0010,0.0002,-0.0002,nan,nan,nan,nan
60000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0045,0.0026,0.0002,-0.0002,nan,nan,nan,nan
64000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0039,-0.0004,0.0002,-0.0002,nan,nan,nan,nan
68000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0002,-0.0041,0.0001,-0.0001,nan,nan,nan,nan
72000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0028,-0.0027,0.0000,-0.0000,nan,nan,nan,nan
76000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0009,0.0003,-0.0001,0.0001,nan,nan,nan,nan
80000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0021,-0.0002,-0.0001,0.0002,nan,nan,nan,nan
84000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0011,-0.0014,-0.0001,0.0001,nan,nan,nan,nan
88000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0003,-0.0011,-0.0002,0.0002,nan,nan,nan,nan
92000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,-0.0000,-0.0002,0.0002,nan,nan,nan,nan
96000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0006,0.0019,-0.0002,0.0002,nan,nan,nan,nan
100000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020,0.0034,-0.0003,0.0003,nan,nan,nan,nan
104000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0026,0.0022,-0.0003,0.0004,nan,nan,nan,nan
108000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0001,-0.0002,-0.0003,0.0004,nan,nan,nan,nan
112000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0040,-0.0010,-0.0003,0.0003,nan,nan,nan,nan
116000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0031,-0.0005,-0.0002,0.0002,nan,nan,nan,nan
120000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002,-0.0002,-0.0001,0.0001,nan,nan,nan,nan
124000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007,-0.0012,-0.0001,0.0001,nan,nan,nan,nan
128000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019,-0.0022,-0.0000,0.0000,nan,nan,nan,nan
132000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0035,-0.0026,0.0001,-0.0001,nan,nan,nan,nan
136000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0017,-0.0016,0.0002,-0.0002,nan,nan,nan,nan
140000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0005,0.0024,0.0003,-0.0003,nan,nan,nan,nan
144000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0014,0.0048,0.0003,-0.0003,nan,nan,nan,nan
148000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0032,0.0030,0.0003,-0.0004,nan,nan,nan,nan
152000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0055,0.0006,0.0004,-0.0004,nan,nan,nan,nan
156000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0060,-0.0010,0.0004,-0.0005,nan,nan,nan,nan
160000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0024,-0.0024,0.0005,-0.0005,nan,nan,nan,nan
164000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032,-0.0015,0.0004,-0.0005,nan,nan,nan,nan
168000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0047,0.0016,0.0004,-0.0004,nan,nan,nan,nan
172000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0035,0.0021,0.0004,-0.0004,nan,nan,nan,nan
176000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032,-0.0003,0.0003,-0.0004,nan,nan,nan,nan
180000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0027,-0.0014,0.0003,-0.0003,nan,nan,nan,nan
184000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018,-0.0010,0.0002,-0.0002,nan,nan,nan,nan
188000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0008,0.0002,0.0002,-0.0002,nan,nan,nan,nan
192000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002,0.0015,0.0002,-0.0002,nan,nan,nan,nan
196000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0009,0.0009,0.0002,-0.0002,nan,nan,nan,nan
200000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0019,-0.0009,0.0002,-0.0002,nan,nan,nan,nan
204000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0016,-0.0018,0.0003,-0.0003,nan,nan,nan,nan
208000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0020,-0.0026,0.0003,-0.0003,nan,nan,nan,nan
212000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0023,-0.0029,0.0003,-0.0004,nan,nan,nan,nan
216000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0001,-0.0009,0.0003,-0.0003,nan,nan,nan,nan
220000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0025,0.0012,0.0002,-0.0003,nan,nan,nan,nan
224000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020,0.0011,0.0002,-0.0002,nan,nan,nan,nan
228000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010,-0.0007,0.0002,-0.0002,nan,nan,nan,nan
232000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016,-0.0027,0.0002,-0.0002,nan,nan,nan,nan
236000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012,-0.0022,0.0002,-0.0002,nan,nan,nan,nan
240000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0001,0.0000,0.0002,-0.0002,nan,nan,nan,nan
244000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0012,0.0011,0.0002,-0.0002,nan,nan,nan,nan
248000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0028,0.0008,0.0002,-0.0002,nan,nan,nan,nan
252000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0026,0.0013,0.0002,-0.0003,nan,nan,nan,nan
256000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0009,0.0019,0.0003,-0.0003,nan,nan,nan,nan
260000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012,0.0017,0.0004,-0.0004,nan,nan,nan,nan
264000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0031,0.0015,0.0004,-0.0004,nan,nan,nan,nan
268000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0037,0.0012,0.0004,-0.0004,nan,nan,nan,nan
272000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023,-0.0002,0.0003,-0.0003,nan,nan,nan,nan
276000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010,-0.0017,0.0003,-0.0003,nan,nan,nan,nan
280000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019,-0.0021,0.0002,-0.0002,nan,nan,nan,nan
284000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0027,-0.0020,0.0003,-0.0003,nan,nan,nan,nan
288000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0031,-0.0012,0.0003,-0.0003,nan,nan,nan,nan
292000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0039,-0.0006,0.0003,-0.0003,nan,nan,nan,nan
296000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0034,-0.0018,0.0003,-0.0003,nan,nan,nan,nan
300000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0022,-0.0028,0.0002,-0.0002,nan,nan,nan,nan
304000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0011,-0.0015,0.0001,-0.0001,nan,nan,nan,nan
308000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002,-0.0001,0.0001,-0.0001,nan,nan,nan,nan
312000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,-0.0001,0.0001,-0.0001,nan,nan,nan,nan
